,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
0,faanui,100,PF,1594613130,78,-16.48,-151.75,78.51,12.62
1,kathmandu,75,NP,1594613131,88,27.72,85.32,73.4,1.66
2,mataura,83,NZ,1594613131,87,-46.19,168.86,43.75,3.13
3,sao felix do xingu,92,IN,1594613131,71,20.51,76.21,80.51,12.55
4,katsuura,100,JP,1594613131,82,35.13,140.3,73.0,1.99
5,busselton,76,AU,1594613131,49,-33.65,115.33,66.99,17.72
6,yulara,0,AU,1594613132,31,-25.24,130.99,60.8,17.22
7,iwanai,62,JP,1594613132,64,42.97,140.51,72.01,4.59
8,rikitea,47,PF,1594613057,77,-23.12,-134.97,70.99,13.18
9,barrow,90,US,1594613123,92,71.29,-156.79,37.4,9.17
10,newport,51,GB,1594612943,84,51.59,-3.0,61.0,1.01
11,clearwater,1,US,1594613133,74,27.97,-82.8,84.99,3.36
12,whyalla,75,AU,1594613111,82,-33.03,137.58,55.4,8.05
13,upernavik,84,GL,1594613133,90,72.79,-56.15,40.73,8.12
14,nelson bay,86,NZ,1594613134,72,-41.28,173.28,54.0,2.15
15,ust-kuyga,90,RU,1594613134,39,70.02,135.6,80.71,2.64
16,qaanaaq,97,GL,1594613117,69,77.48,-69.36,42.89,2.89
17,talnakh,100,RU,1594613135,54,69.49,88.4,59.0,8.95
18,surt,6,LY,1594613135,85,31.21,16.59,74.82,8.52
19,bubaque,100,GW,1594613135,87,11.28,-15.83,77.74,11.36
20,teruel,7,ES,1594613135,88,40.67,-0.67,68.0,3.36
21,ludvika,41,SE,1594613136,93,60.15,15.19,48.99,6.93
22,dingle,94,PH,1594613136,64,11.0,122.67,88.59,5.91
23,bereda,26,ES,1594613137,81,43.27,-7.54,61.0,11.99
24,port alfred,0,CD,1594613137,56,-7.03,29.76,70.41,3.89
25,uga,99,NG,1594613137,100,5.94,7.08,69.89,3.06
26,tuktoyaktuk,75,CA,1594613137,62,69.45,-133.04,59.0,10.29
27,bluff,96,NZ,1594613137,75,-46.6,168.33,48.56,13.24
28,vila,0,PT,1594613138,87,42.03,-8.16,63.0,4.0
29,hit,0,IQ,1594613138,33,33.64,42.83,89.94,16.58
30,vaini,40,TO,1594613122,73,-21.2,-175.2,73.4,11.41
31,kodiak,90,US,1594612884,81,57.79,-152.41,53.6,13.87
32,oyem,78,GA,1594613138,98,1.6,11.58,66.97,2.62
33,aswan,0,EG,1594613139,23,24.09,32.91,81.7,9.08
34,atuona,5,PF,1594613139,78,-9.8,-139.03,79.29,17.52
35,formoso do araguaia,20,BR,1594613139,59,-14.95,-46.23,59.43,2.39
36,husavik,75,IS,1594613140,93,66.04,-17.34,50.0,4.18
37,albany,84,US,1594613140,91,42.6,-73.97,75.0,3.56
38,torbay,90,CA,1594613140,93,47.67,-52.73,55.99,19.46
39,kavaratti,40,IN,1594613140,79,10.57,72.64,84.2,6.93
40,nanortalik,100,GL,1594613140,90,60.14,-45.24,44.78,4.18
41,acapulco,100,MX,1594612963,80,16.86,-99.89,79.18,5.17
42,keti bandar,40,AM,1594613141,93,40.87,43.84,59.0,3.36
43,dikson,100,RU,1594613141,98,73.51,80.55,40.41,4.0
44,kloulklubed,94,PW,1594613141,68,7.04,134.26,84.81,6.64
45,sao filipe,92,IN,1594613141,71,20.51,76.21,80.51,12.55
46,korla,40,CN,1594612955,14,41.76,86.15,84.04,12.44
47,cherskiy,99,RU,1594613130,79,68.75,161.3,58.26,3.47
48,khatanga,83,RU,1594613058,52,71.97,102.5,63.28,14.09
49,carnarvon,0,AU,1594613142,57,-24.87,113.63,77.0,5.82
50,cabo san lucas,20,BR,1594613143,69,-8.28,-35.03,78.8,8.05
51,abu kamal,83,IN,1594612852,90,24.6,72.7,74.25,8.41
52,agadez,6,NE,1594613143,36,19.75,10.25,82.72,4.79
53,atar,0,MR,1594613143,43,20.52,-13.05,88.47,8.63
54,tromso,75,NO,1594613143,87,69.65,18.96,51.8,2.24
55,kapaa,40,US,1594613058,78,22.08,-159.32,78.8,19.46
56,yellowknife,75,CA,1594613144,49,62.46,-114.35,69.8,6.93
57,monte cristi,20,FR,1594613144,73,42.47,9.39,71.6,5.82
58,saint-pierre,6,RE,1594613144,60,-21.34,55.48,68.0,6.93
59,tommot,79,RU,1594613145,33,58.96,126.29,95.29,2.59
60,fairbanks,20,US,1594612929,30,64.84,-147.72,71.6,8.05
61,cidreira,13,BR,1594613145,91,-30.18,-50.21,53.96,8.28
62,nikolskoye,17,RU,1594613145,87,59.7,30.79,60.01,4.47
63,hobart,40,AU,1594613146,62,-42.88,147.33,54.0,4.7
64,langen,61,DE,1594613146,58,49.99,8.67,62.01,9.17
65,pacific grove,0,US,1594613146,86,38.48,-90.74,75.99,4.59
66,saldanha,79,ZA,1594613146,71,-33.01,17.94,55.4,14.99
67,bandarbeyla,52,SO,1594613147,59,9.49,50.81,83.62,30.02
68,hermanus,88,ZA,1594613147,78,-34.42,19.23,52.0,11.99
69,victor harbor,20,US,1594613147,82,42.98,-77.41,68.0,7.99
70,zhigansk,100,RU,1594613138,60,66.77,123.37,68.13,17.4
71,turukhansk,50,RU,1594613116,55,65.82,87.98,66.09,7.45
72,ushuaia,75,AR,1594613148,95,-54.8,-68.3,33.8,18.34
73,chokurdakh,26,RU,1594613148,38,70.63,147.92,74.84,8.68
74,punta arenas,90,PH,1594613149,59,8.99,125.34,88.09,4.9
75,avarua,100,CK,1594613124,94,-21.21,-159.78,68.0,4.7
76,muros,0,ES,1594613149,70,42.78,-9.06,64.99,10.0
77,beloha,5,MG,1594613150,90,-25.17,45.05,59.61,6.67
78,ayan,49,RU,1594613150,85,56.45,138.17,55.72,10.02
79,les cayes,14,ES,1594613150,93,42.81,0.71,61.0,0.65
80,pevek,62,RU,1594613128,64,69.7,170.31,51.42,9.31
81,geraldton,75,AU,1594612958,60,-28.77,114.6,73.4,13.87
82,plouzane,90,FR,1594613151,100,48.38,-4.62,53.6,4.7
83,castro,39,BR,1594613151,86,-24.79,-50.01,59.97,4.05
84,jamestown,1,US,1594613151,93,42.1,-79.24,63.0,5.82
85,goderich,8,CA,1594613152,73,43.75,-81.72,70.0,1.01
86,puerto ayora,0,ES,1594613152,83,36.59,-6.23,75.99,6.93
87,komsomolskiy,63,UZ,1594613122,32,40.43,71.72,84.2,4.7
88,morondava,24,MG,1594613153,85,-20.28,44.28,67.62,10.96
89,butaritari,70,KI,1594613153,76,3.07,172.79,83.41,11.03
90,acarau,28,BR,1594613153,84,-2.89,-40.12,76.33,12.21
91,zhezkazgan,0,KZ,1594613153,42,47.8,67.71,80.6,8.95
92,bredasdorp,95,ZA,1594613154,81,-34.53,20.04,53.6,17.22
93,port macquarie,0,CD,1594613154,56,-7.03,29.76,70.41,3.89
94,san patricio,16,ML,1594613000,59,13.3,-4.9,83.43,12.5
95,severo-kurilsk,96,RU,1594613116,83,50.68,156.12,51.89,11.83
96,hilo,20,US,1594613155,61,19.73,-155.09,80.6,8.05
97,port hardy,0,CD,1594613039,56,-7.03,29.76,70.41,3.89
98,mar del plata,0,ES,1594613155,88,43.4,-4.01,66.0,5.82
99,jining,76,CN,1594613156,62,35.41,116.58,80.85,10.4
100,lamesa,75,US,1594613156,18,32.74,-101.95,89.6,13.87
101,kouroussa,69,GN,1594613156,96,10.65,-9.88,69.78,4.23
102,kalat,0,PK,1594613156,24,29.02,66.59,77.95,7.18
103,lavrentiya,6,RU,1594613157,75,65.58,-171.0,45.86,6.04
104,bambous virieux,75,MU,1594613157,78,-20.26,57.41,72.0,14.99
105,magnor,66,SE,1594613157,93,59.95,12.2,50.0,3.36
106,lompoc,0,US,1594613157,77,34.64,-120.46,60.8,11.41
